Neighborhood,Population,Median Household Income ($),Unemployment Rate (%)
Bayview Hunters Point,35890,43155,14
Bernal Heights,23390,85607,6
Castro/Upper Market,19790,92237,5
Chinatown,14540,17630,15
Glen Park,7790,90510,6
Tenderloin,44240,24491,9
Excelsior,37960,67398,9
Financial District/South Beach,1780,45221,6
Haight Ashbury,21800,85539,4
Inner Richmond,39690,69861,6
Inner Sunset,26520,85696,4
Lakeshore,16630,62904,8
Marina,22810,102442,5
Mission,57300,63627,5
Mission Bay,9080,103942,8
Nob Hill,22860,53283,4
Noe Valley,21300,105807,6
North Beach,14860,70067,5
Oceanview/Merced/Ingleside,31880,67475,10
Outer Mission,29040,79477,5
Outer Richmond,28370,72459,7
Sunset/Parkside,45670,73728,6
Pacific Heights,16750,109307,4
Potrero Hill,21110,98182,9
Presidio,3240,116807,3
Presidio Heights,9850,96542,4
Russian Hill,12320,84537,8
Seacliff,9100,162903,4
South of Market,31370,67572,6
Treasure Island,2880,55676,16
Twin Peaks,7040,99449,8
Visitacion Valley,21130,44373,11
West of Twin Peaks,22830,125027,5
Western Addition,42920,53990,7